Juviniles, Adults, Seniles, Total
1438,0,719,2157
0,288,0,288
576,0,288,864
0,115,0,115
230,0,115,345
0,276,0,276
552,0,276,828
0,662,0,662
1324,0,662,1986
0,1589,0,1589
3178,0,1589,4767
0,636,0,636
1272,0,636,1908
0,254,0,254
508,0,254,762
0,102,0,102
204,0,102,306
0,245,0,245
490,0,245,735
0,98,0,98
196,0,98,294
0,235,0,235
470,0,235,705
0,94,0,94
188,0,94,282
0,226,0,226
452,0,226,678
0,90,0,90
180,0,90,270
0,36,0,36
72,0,36,108
0,72,0,72
144,0,72,216
0,29,0,29
58,0,29,87
0,58,0,58
116,0,58,174
0,116,0,116
232,0,116,348
0,46,0,46
92,0,46,138
0,92,0,92
184,0,92,276
0,221,0,221
442,0,221,663
0,530,0,530
1060,0,530,1590
0,1272,0,1272
2544,0,1272,3816
0,509,0,509
1018,0,509,1527
0,1222,0,1222
2444,0,1222,3666
0,489,0,489
978,0,489,1467
0,196,0,196
392,0,196,588
0,78,0,78
156,0,78,234
0,31,0,31
62,0,31,93
0,62,0,62
124,0,62,186
0,124,0,124
248,0,124,372
0,50,0,50
100,0,50,150
0,100,0,100
200,0,100,300
0,240,0,240
480,0,240,720
0,96,0,96
192,0,96,288
0,38,0,38
76,0,38,114
0,76,0,76
152,0,76,228
0,30,0,30
60,0,30,90
0,60,0,60
120,0,60,180
0,120,0,120
240,0,120,360
0,48,0,48
96,0,48,144
0,96,0,96
192,0,96,288
0,38,0,38
76,0,38,114
0,76,0,76
152,0,76,228
0,30,0,30
60,0,30,90
0,60,0,60
120,0,60,180
0,120,0,120
240,0,120,360
0,48,0,48
96,0,48,144
0,96,0,96
192,0,96,288
0,38,0,38
76,0,38,114
0,76,0,76
152,0,76,228
0,30,0,30
60,0,30,90
0,60,0,60
120,0,60,180
0,120,0,120
240,0,120,360
0,288,0,288
576,0,288,864
0,691,0,691
1382,0,691,2073
0,276,0,276
552,0,276,828
0,110,0,110
220,0,110,330
0,44,0,44
88,0,44,132
0,88,0,88
176,0,88,264
0,35,0,35
70,0,35,105
0,70,0,70
140,0,70,210
0,28,0,28
56,0,28,84
0,56,0,56
112,0,56,168
0,112,0,112
224,0,112,336
0,269,0,269
538,0,269,807
0,108,0,108
216,0,108,324
0,43,0,43
86,0,43,129
0,86,0,86
172,0,86,258
0,206,0,206
412,0,206,618
0,494,0,494
988,0,494,1482
0,198,0,198
396,0,198,594
0,79,0,79
158,0,79,237
0,32,0,32
64,0,32,96
0,64,0,64
128,0,64,192
0,128,0,128
256,0,128,384
0,51,0,51
102,0,51,153
0,102,0,102
204,0,102,306
0,41,0,41
82,0,41,123
