Juviniles, Adults, Seniles, Total
65965460373426079779682944,20189478464490070980168608,32982730186713039889841472,119137669024629190649693024
40378956928980141960337216,32982730186713039889841472,20189478464490070980168608,93551165580183252830347296
65965460373426079779682944,24227374157388085176202330,32982730186713039889841472,123175564717527204845726746
48454748314776170352404660,32982730186713039889841472,24227374157388085176202330,105664852658877295418448462
65965460373426079779682944,33918323820343319246683262,32982730186713039889841472,132866514380482438916207678
67836647640686638493366524,39579276224055647867809766,33918323820343319246683262,141334247685085605607859552
79158552448111295735619532,47485653348480646945356567,39579276224055647867809766,166223482020647590548785865
94971306696961293890713134,63326841958489036588495626,47485653348480646945356567,205783802003930977424565327
126653683916978073176991252,47485653348480646945356567,63326841958489036588495626,237466179223947756710843445
94971306696961293890713134,101322947133582458541593002,47485653348480646945356567,243779907179024399377662703
202645894267164917083186004,66479914687872905723499194,101322947133582458541593002,370448756088620281348278200
132959829375745811446998388,141852125987015441958230203,66479914687872905723499194,341291870050634159128727785
283704251974030883916460406,66479914687872905723499194,141852125987015441958230203,492036292648919231598189803
132959829375745811446998388,226963401579224707133168325,66479914687872905723499194,426403145642843424303665907
453926803158449414266336650,66479914687872905723499194,226963401579224707133168325,747370119425547027123004169
132959829375745811446998388,226963401579224707133168325,66479914687872905723499194,426403145642843424303665907
453926803158449414266336650,66479914687872905723499194,226963401579224707133168325,747370119425547027123004169
132959829375745811446998388,226963401579224707133168325,66479914687872905723499194,426403145642843424303665907
453926803158449414266336650,106367863500596649157598710,226963401579224707133168325,787258068238270770557103685
212735727001193298315197420,363141442526759531413069320,106367863500596649157598710,682245033028549478885865450
726282885053519062826138640,106367863500596649157598710,363141442526759531413069320,1195792191080875243396806670
212735727001193298315197420,435769731032111437695683184,106367863500596649157598710,754873321533901385168479314
871539462064222875391366368,148915008900835308820638194,435769731032111437695683184,1456224201997169621907687746
297830017801670617641276388,697231569651378300313093094,148915008900835308820638194,1143976596353884226775007676
1394463139302756600626186188,238264014241336494113021110,697231569651378300313093094,2329958723195471395052300392
476528028482672988226042220,697231569651378300313093094,238264014241336494113021110,1412023612375387782652156424
1394463139302756600626186188,381222422786138390580833776,697231569651378300313093094,2472917131740273291520113058
762444845572276781161667552,836677883581653960375711713,381222422786138390580833776,1980345151940069132118213041
1673355767163307920751423426,457466907343366068697000531,836677883581653960375711713,2967500558088327949824135670
914933814686732137394001062,1338684613730646336601138741,457466907343366068697000531,2711085335760744542692140334
2677369227461292673202277482,731947051749385709915200850,1338684613730646336601138741,4748000892941324719718617073
1463894103498771419830401700,2141895381969034138561821986,731947051749385709915200850,4337736537217191268307424536
4283790763938068277123643972,1171115282799017135864321360,2141895381969034138561821986,7596801428706119551549787318
2342230565598034271728642720,2141895381969034138561821986,1171115282799017135864321360,5655241230366085546154786066
4283790763938068277123643972,1405338339358820563037185632,2141895381969034138561821986,7831024485265922978722651590
2810676678717641126074371264,2141895381969034138561821986,1405338339358820563037185632,6357910400045495827673378882
4283790763938068277123643972,1967473675102348788252059885,2141895381969034138561821986,8393159821009451203937525843
3934947350204697576504119770,2998653534756647793986550780,1967473675102348788252059885,8901074560063694158742730435
5997307069513295587973101560,3147957880163758061203295816,2998653534756647793986550780,12143918484433701443162948156
6295915760327516122406591632,2998653534756647793986550780,3147957880163758061203295816,12442527175247921977596438228
5997307069513295587973101560,4407141032229261285684614142,2998653534756647793986550780,13403101636499204667644266482
8814282064458522571369228284,2998653534756647793986550780,4407141032229261285684614142,16220076631444431651040393206
5997307069513295587973101560,6169997445120965799958459799,2998653534756647793986550780,15165958049390909181918112139
12339994890241931599916919598,2998653534756647793986550780,6169997445120965799958459799,21508645870119545193861930177
5997307069513295587973101560,9871995912193545279933535678,2998653534756647793986550780,18867956516463488661893188018
19743991824387090559867071356,2998653534756647793986550780,9871995912193545279933535678,32614641271337283633787157814
5997307069513295587973101560,11846395094632254335920242814,2998653534756647793986550780,20842355698902197717879895154
23692790189264508671840485628,4198114948659306911581171092,11846395094632254335920242814,39737300232556069919341899534
8396229897318613823162342184,18954232151411606937472388502,4198114948659306911581171092,31548576997389527672215901778
37908464302823213874944777004,5877360928123029676213639529,18954232151411606937472388502,62740057382357850488630805035
