Juviniles, Adults, Seniles, Total
20,107,10,137
215,4,107,326
8,43,4,55
86,2,43,131
3,17,2,22
34,3,17,55
6,34,3,44
69,6,34,109
13,14,6,33
28,13,14,54
25,28,13,65
55,25,28,108
50,11,25,86
22,60,11,93
120,26,60,207
53,24,26,103
48,11,24,83
21,58,11,89
116,4,58,178
8,23,4,36
46,8,23,78
17,46,8,72
92,17,46,156
34,18,17,69
37,7,18,62
14,7,7,28
15,14,7,36
27,15,14,55
30,27,15,71
54,30,27,111
59,11,30,100
22,12,11,44
24,22,12,57
43,24,22,89
47,43,24,114
87,57,43,187
114,17,57,188
35,23,17,75
45,42,23,110
83,55,42,179
109,17,55,180
33,22,17,72
44,7,22,72
13,9,7,29
17,13,9,39
27,17,13,57
35,27,17,79
53,35,27,115
70,11,35,115
21,14,11,46
28,21,14,63
43,28,21,92
56,43,28,126
85,11,43,139
22,17,11,51
34,27,17,78
54,41,27,121
82,11,41,133
21,98,11,130
196,26,98,320
51,235,26,312
470,10,235,716
21,94,10,125
188,4,94,286
8,38,4,50
75,8,38,121
16,15,8,40
30,16,15,62
33,30,16,79
60,33,30,123
66,12,33,111
24,13,12,49
26,24,13,64
48,26,24,99
53,48,26,127
96,11,48,155
21,19,11,51
39,4,19,62
8,8,4,20
15,8,8,32
17,15,8,41
31,17,15,63
34,31,17,81
62,34,31,126
67,12,34,113
25,13,12,50
27,25,13,65
49,27,25,101
54,10,27,91
20,11,10,40
22,20,11,52
39,22,20,81
43,39,22,104
79,52,39,170
104,16,52,171
32,21,16,68
41,38,21,100
76,8,38,122
17,15,8,40
30,17,15,62
33,30,17,80
61,33,30,124
66,12,33,112
24,13,12,50
27,24,13,64
48,27,24,99
53,48,27,128
97,11,48,156
21,19,11,51
39,25,19,84
51,8,25,84
16,10,8,33
20,16,10,46
31,20,16,67
41,31,20,92
62,41,31,134
81,74,41,197
149,16,74,240
33,30,16,79
60,7,30,96
13,71,7,91
143,3,71,217
5,29,3,36
57,5,29,91
10,57,5,73
114,10,57,182
21,23,10,54
46,4,23,73
8,9,4,22
18,8,9,36
17,18,8,43
37,17,18,72
33,37,17,87
73,33,37,143
67,88,33,188
176,80,88,344
160,35,80,275
70,32,35,137
64,14,32,110
28,13,14,55
26,6,13,44
11,26,6,42
51,11,26,88
22,51,11,85
103,22,51,176
45,21,22,88
41,9,21,70
18,8,9,35
16,18,8,43
36,16,18,70
33,36,16,85
72,33,36,141
66,86,33,185
173,13,86,272
